arm,a0,k,psnr,ssim,lpips,score
global,0.0,0.0,26.946377931747076,0.8478038502590997,0.2402676514216832,71.99123620995391
global,0.25,0.0,26.87909881916466,0.8468866305691856,0.2407498705599989,71.90406338617441
global,0.5,0.0,26.78107425595615,0.844571441411972,0.2443266979285649,71.63271987879025
legal,0.0,0.4,26.94114233206118,0.848031256880079,0.24010952349220002,72.00124216595108
oracle,0.0,0.4,26.935448607930763,0.8480857610702515,0.23988499119877815,72.00844234891488
legal1nb,0.0,0.4,26.934634190546177,0.8477607177836555,0.24025101587176323,71.98356141296685
