stem,base_score,base_psnr,base_ssim,base_lpips,lapvar_gt,lapvar_render,lapvar_ratio_gt_over_render,oracle_sigma,oracle_alpha,oracle_score,oracle_dscore,oracle_dpsnr,oracle_dssim,oracle_dlpips,oracle_ext_sigma,oracle_ext_alpha,oracle_ext_score,oracle_ext_dscore,oracle_ext_dpsnr,oracle_ext_dssim,oracle_ext_dlpips,specmatch_pc_score,specmatch_pc_dscore,specmatch_pc_dpsnr,specmatch_pc_dssim,specmatch_pc_dlpips,specmatch_sh_score,specmatch_sh_dscore,specwiener_pc_score,specwiener_pc_dscore,specwiener_pc_dpsnr,specwiener_pc_dssim,specwiener_pc_dlpips,bestglobal_specgrid_key,bestglobal_specgrid_dscore,bestglobal_ext_key,bestglobal_ext_dscore
frame_001400,77.2765,30.4859,0.878117,0.183963,0.00202285,0.000711682,2.84235,0,0,77.2765,0,0,0,0,0.6,-0.15,77.2883,0.0117497,0.0100212,-6.41346e-05,-0.000191525,75.7339,-1.5426,-0.29673,-0.00279915,0.0320147,75.6937,-1.58283,76.887,-0.389585,0.0339076,0.000316978,0.010486,base(a=0),0,us_1.6_-0.15,-0.0904286
frame_001470,70.2741,26.0119,0.765122,0.207166,0.00650019,0.00123685,5.25543,1.6,0.15,70.393,0.118833,-0.0532327,0.00340933,-0.00121233,1.6,0.15,70.393,0.118833,-0.0532327,0.00340933,-0.00121233,68.3555,-1.91862,-0.631344,-0.00164646,0.0372605,68.1651,-2.10907,69.4907,-0.783416,0.0939155,-0.00433534,0.0177426,base(a=0),0,us_1.6_-0.15,-0.358491
frame_001540,74.5336,27.9396,0.836778,0.183337,0.00422835,0.00117916,3.58591,1.0,0.15,74.564,0.0303649,-0.0133316,0.00158006,0.000225946,1.0,0.15,74.564,0.0303649,-0.0133316,0.00158006,0.000225946,72.455,-2.07863,-0.473749,-0.00555259,0.040695,72.4281,-2.10552,74.2433,-0.290341,0.0909446,0.000196278,0.00876991,base(a=0),0,us_1.6_-0.15,-0.278724
frame_001640,76.2527,28.6774,0.926085,0.218406,0.00140199,0.000606291,2.31241,0,0,76.2527,0,0,0,0,1.6,-0.3,76.6098,0.357067,0.0743783,0.00300258,-0.00555907,73.8852,-2.36755,0.119004,-0.00507057,0.0571709,73.7968,-2.45596,75.4816,-0.771089,0.373047,0.00127035,0.0258257,base(a=0),0,us_1.6_-0.15,0.28263
frame_001720,81.354,30.9528,0.969717,0.157731,0.00195742,0.00104866,1.86659,0,0,81.354,0,0,0,0,0.6,-0.3,81.4412,0.0872874,-0.027604,9.43542e-05,-0.00252548,79.5291,-1.82487,0.173401,-0.0015077,0.047092,79.1331,-2.22091,80.4742,-0.879729,0.302043,0.000210881,0.026682,base(a=0),0,us_1.6_-0.15,0.0720947
frame_001820,79.6243,29.4162,0.95325,0.165573,0.0025526,0.000721825,3.53631,0,0,79.6243,0,0,0,0,0.6,-0.3,79.6949,0.0705185,-0.0327692,-0.000213146,-0.00241436,75.3746,-4.24974,-0.0613957,-0.00363308,0.102598,75.385,-4.23934,76.2429,-3.38148,0.103575,-0.000955105,0.0853743,base(a=0),0,us_1.6_-0.15,0.0419172
frame_001930,75.5948,28.8528,0.903621,0.220637,0.00122115,0.000385993,3.16366,0,0,75.5948,0,0,0,0,1.6,-0.15,75.7237,0.128916,0.032517,0.00162995,-0.00151269,73.8411,-1.7537,-0.23761,-0.00807083,0.0342253,73.8128,-1.78206,75.1081,-0.486673,0.0682103,0.00149077,0.0143081,base(a=0),0,us_1.6_-0.15,0.128916
frame_002120,78.2957,29.4148,0.924893,0.1775,0.00223562,0.000573452,3.89853,0,0,78.2957,0,0,0,0,0,0,78.2957,0,0,0,0,76.7104,-1.58522,-0.0480306,-0.00156969,0.0377329,76.7027,-1.59293,77.8723,-0.423342,0.125962,0.00121623,0.0133851,base(a=0),0,us_1.6_-0.15,-0.167133
frame_002190,81.9776,32.8422,0.947636,0.153919,0.00165252,0.000500887,3.29918,1.6,0.15,81.994,0.0163204,0.111448,0.00115979,0.00213355,1.6,0.15,81.994,0.0163204,0.111448,0.00115979,0.00213355,81.1485,-0.829161,0.420964,-0.000184596,0.026905,81.1293,-0.848313,81.8904,-0.0872851,0.541936,0.00166863,0.0115626,base(a=0),0,us_1.6_-0.15,-0.255163
frame_002260,78.1245,30.2504,0.934391,0.201436,0.000514675,0.000868574,0.592551,0,0,78.1245,0,0,0,0,1.6,-0.3,79.1712,1.04666,0.797227,0.00872946,-0.00766093,78.4047,0.280166,0.949492,0.00685215,0.0123773,78.424,0.29943,78.226,0.101509,1.50964,0.0135112,0.0302403,base(a=0),0,us_1.6_-0.15,0.612153
frame_002330,81.3472,31.9412,0.95317,0.160316,0.0012091,0.000786723,1.53688,0,0,81.3472,0,0,0,0,1.6,-0.15,81.5544,0.207241,0.130192,0.00131464,-0.00224216,80.867,-0.480201,0.0563043,-0.000563383,0.0124271,80.8751,-0.472117,80.9561,-0.391038,0.273068,0.00211847,0.0154608,base(a=0),0,us_1.6_-0.15,0.207241
frame_002440,78.9613,29.0958,0.939713,0.16719,0.0028862,0.00101101,2.85478,0,0,78.9613,0,0,0,0,0.6,-0.15,78.9825,0.021176,0.00773606,-4.40478e-05,-0.000446394,77.1282,-1.83312,-0.14144,-0.00233716,0.0419536,77.1284,-1.83286,78.2944,-0.66691,0.105428,0.000225008,0.0184229,base(a=0),0,us_1.6_-0.15,-0.0195928
frame_002510,80.9105,31.2152,0.958846,0.164599,0.00148433,0.000703478,2.10999,0,0,80.9105,0,0,0,0,0.6,-0.3,80.9657,0.0551288,0.00451287,0.000422537,-0.000993624,79.5036,-1.40697,0.0171674,-0.00261992,0.0334668,79.4563,-1.45428,80.6109,-0.299638,0.255267,0.000594079,0.0117655,base(a=0),0,us_1.6_-0.15,0.0246639
frame_002650,78.0535,29.8954,0.935889,0.19901,0.000706587,0.000598311,1.18097,0,0,78.0535,0,0,0,0,1.6,-0.3,78.5715,0.517983,0.402724,0.00602984,-0.00238632,77.6809,-0.372633,0.225868,0.00147158,0.0138075,77.6704,-0.383154,77.8003,-0.253219,0.591519,0.00789982,0.0211281,base(a=0),0,us_1.6_-0.15,0.347003
