stem,frame,score,lpips,psnr,ssim,d_nearest,d_2nd,d_mean5,ang_nearest,n_within_0p2,n_within_0p5,temporal_baseline,med_scene_depth,baseline_over_depth
frame_001720,1720,81.35395586099759,0.15773100592195988,30.952829736910484,0.9697166085243225,0.0675777684993369,0.16751449101429586,0.1767148965003285,0.8619467471949469,4,12,0.17452868931601406,4.163936230209061,0.04191435210986682
frame_001820,1820,79.62433083751769,0.1655725408345461,29.416212297131132,0.9532501697540283,0.09711505299593477,0.14959914469785618,0.2450248090648027,2.097807557030207,3,5,0.12448294576001026,4.210982481363494,0.02956149694541197
frame_001930,1930,75.59481346956348,0.22063705511391163,28.852799068746542,0.9036205410957336,0.22691729703146565,0.3415139988040731,0.3822266177162448,4.097491133444218,0,5,0.3554456594071681,3.873881255917136,0.09175440234887036
frame_002120,2120,78.29565958209702,0.17750041652470827,29.414836148054505,0.9248924851417542,0.020462775499746545,0.03182429800635004,0.12046400545160382,0.811238532988643,3,15,0.026143536753048292,3.094224737853904,0.00844913959649258
frame_002190,2190,81.97764068665145,0.15391913894563913,32.84221893502671,0.9476358294487,0.030209355809286922,0.0869248985447755,0.10018309424630437,0.1999032295731252,8,16,1.9068422644028842,3.2880414647952567,0.5799325479375065
frame_002260,2260,78.1245283768437,0.20143566373735666,30.250361869875206,0.9343912601470947,0.06837522284008024,0.07997411212746637,0.09036566203816823,3.747556765404719,11,18,0.08496577045696588,2.8178484267555053,0.03015271142699332
frame_002330,2330,81.34716651436148,0.16031632013618946,31.94119581077591,0.9531700611114502,0.07389602487519571,0.08460402294440182,0.09657175390624129,1.3784268429493458,9,18,0.07925002390979877,2.880307661118367,0.027514430135226437
frame_002440,2440,78.96128517679803,0.16718981135636568,29.095806695395567,0.9397131204605103,0.048534529668091804,0.09594941695601777,0.1318313929710912,0.8541420450232851,4,6,0.08024050443013318,3.406431832143281,0.023555587894928443
frame_002510,2510,80.91052846057201,0.1645987555384636,31.215150918281473,0.9588462710380554,0.07675959835081947,0.1281513517495915,0.15472315045263269,1.823853665005495,4,13,0.10245547505020548,2.9869499531509853,0.034301035054880455
frame_002650,2650,78.05351450412743,0.19901047181338072,29.895417816428225,0.9358894228935242,0.055972447415587684,0.06849065923936631,0.0959878647970664,3.4647350677601745,5,15,0.0807612118763277,2.8127146490034134,0.028712906197200842
