stem,frame,score,lpips,psnr,ssim,d_nearest,d_2nd,d_mean5,ang_nearest,n_within_0p2,n_within_0p5,temporal_baseline,med_scene_depth,baseline_over_depth
frame_000010,10,65.43908607220584,0.25358571857213974,22.91629184047272,0.72775799036026,0.011499605092746373,0.0351682646604449,0.33300947103303963,0.5723679648432841,2,3,0.023333934876595637,6.3036619003517425,0.0037016475892042385
frame_000120,120,57.89964348113208,0.3688824437558651,22.864841670388447,0.6312012076377869,0.4034457139715472,0.44137983462142294,0.7795605092207035,5.160062257922724,0,2,0.42241277429648505,6.464749339868747,0.06534093622028372
frame_000190,190,60.780191280611284,0.29994285479187965,21.91522520146092,0.6542923450469971,0.10027949365037413,0.2910310345212457,0.48759412183975204,1.8901249424577244,1,3,0.1956552640858099,7.25958837702261,0.026951288960828712
frame_000260,260,59.58012771992601,0.3332848399877548,22.44692365972064,0.6481122374534607,0.24097081574317714,0.4156734159538673,0.779666711158933,3.4544302660037385,0,2,0.3283221158485222,7.809880499013406,0.04203932645192176
frame_000440,440,58.566022609721415,0.3554313890635967,21.873912124254282,0.6552976965904236,0.6956730865435935,0.7134754151670836,1.2379004342575537,5.32829657342828,0,0,0.7045742508553385,6.461817318896129,0.109036547473258
frame_000510,510,62.33659077967755,0.3626747876405716,22.717722079580874,0.773764967918396,0.563843175250202,0.6508677186347688,1.2579232824368591,5.79588697017816,0,0,0.6073554469424853,5.395388459897308,0.1125693639034186
frame_000630,630,65.42898206958361,0.28610595501959324,23.296732812278588,0.7631726861000061,0.5428530527805466,0.6469269638463766,1.0293313738036372,4.846296014605926,0,0,0.5948900083134616,6.478752916271513,0.09182168482137726
frame_000710,710,66.00181086393448,0.27541961893439293,22.786832328178022,0.778216540813446,0.44973937362797745,0.48389443439636187,0.8333353619739021,4.007214842276782,0,2,0.4668169040121697,6.3511231564412665,0.07350147249762069
frame_000810,810,74.29891287718655,0.2500294726341963,29.137357935879642,0.8939225673675537,0.32982956635718097,0.3389138672957433,0.5044357053498907,3.731014794635629,0,2,0.33437171682646216,4.912171345338625,0.06807004343278093
frame_000910,910,73.80783413205106,0.2386334389448166,28.344308905362404,0.8782195448875427,0.14517316953751566,0.19674791750178605,0.26089685788777495,4.726115865966455,2,5,0.2005826232623783,4.279643794953065,0.04686899958798512
frame_001100,1100,71.36668054957987,0.25696267932653427,25.4622161173125,0.8789286017417908,0.33329056207632746,0.34411934214231515,0.3589232611440307,6.736019028193575,0,10,0.47480630045064864,2.9823128854834193,0.15920740669491648
frame_001180,1180,68.82137880791093,0.2972160931676626,24.0883520670875,0.8752337098121643,0.2828079887277664,0.30192430216138094,0.5238774737064044,8.587056247769132,0,2,0.2923661454445737,2.686099933450473,0.10884410583675122
frame_001250,1250,69.30446366128,0.2858836092054844,24.148112447008007,0.8750313520431519,0.21207055384863263,0.2635960596795647,0.505833043860574,6.402144680643412,0,2,0.23783330676409864,2.2750808828717526,0.10453839621907869
frame_001320,1320,69.54241786802811,0.3026582431048155,25.508149910387132,0.8781285881996155,0.2650705395721798,0.34592196477844,0.5546028351262139,5.080743635298731,0,2,0.3054962521753099,3.2149712326523012,0.09502301267040585
frame_001400,1400,77.27654805677571,0.1839626394212246,30.485907791346932,0.8781169652938843,0.2416170422206075,0.3443056328164609,0.4429091912807445,0.8151407213962268,0,2,0.2929613375185342,4.467789014909998,0.06557188276815613
frame_001470,1470,70.27414598600681,0.2071663737297058,26.011901738521395,0.7651219964027405,0.054055747365548405,0.13360854565205493,0.16875405633711993,0.9586482516897706,4,7,0.09383214650880167,6.235991710112467,0.015046868384484975
frame_001540,1540,74.533632229921,0.1833368744701147,27.939600838814783,0.8367782235145569,0.11749109184032978,0.15849378121656718,0.25381773053180046,0.35341363704230805,2,8,0.13799243652844848,5.151867954689097,0.026784932716074628
frame_001640,1640,76.25272110287715,0.21840603463351727,28.677363324237675,0.9260848164558411,0.22946849598135816,0.3537060962405419,0.40088495780287736,2.494536788075696,0,4,0.29158729611094997,4.174376180237878,0.06985170562523041
