stem,frame,psnr,ssim,lpips,lpips_spatialmean,score,l1,gt_lapvar,rn_lapvar,gt_mean,rn_mean,gt_std,rn_std,hf_frac_gt,hf_frac_render,ratio_b0,ratio_b1,ratio_b2,ratio_b3,ratio_b4
frame_001400,1400,30.485907791346932,0.8781169652938843,0.1839626394212246,0.18396274267828844,77.27654805677571,0.019067897894247093,0.01999024860560894,0.00814452301710844,0.5580037236213684,0.5578745007514954,0.205158531665802,0.20442380011081696,0.013831671479316927,0.008400338293410272,1.0162218702019519,0.8310251792479286,0.6350613644010071,0.48047876760302344,0.631541276280672
frame_001470,1470,26.011901738521395,0.7651219964027405,0.2071663737297058,0.20716642385866146,70.27414598600681,0.029517063930461575,0.0641336441040039,0.014012078754603863,0.5407869815826416,0.541912853717804,0.2047758251428604,0.20176547765731812,0.02518751462073882,0.009069838777257018,1.0036482916916536,0.6131480735543283,0.39314181312770263,0.22204658282660408,0.40890073597400145
frame_001540,1540,27.939600838814783,0.8367782235145569,0.1833368744701147,0.18333692216054281,74.533632229921,0.02342591603562523,0.042599450796842575,0.013627586886286736,0.5279542803764343,0.5302273631095886,0.18965935707092285,0.18943597376346588,0.02223452020438411,0.007473067343793161,1.055771839602432,0.6695463654537744,0.3689811785322094,0.24898294803839724,0.36534206833295785
frame_001640,1640,28.677363324237675,0.9260848164558411,0.21840603463351727,0.21840597418000993,76.25272110287715,0.02365517000814146,0.01448674127459526,0.006834383588284254,0.666527509689331,0.658650279045105,0.21869488060474396,0.2293119728565216,0.022244381782783016,0.008228908584378672,1.0698301249067195,0.7101100192584956,0.4051592604352084,0.3166855776610162,0.3487912406528604
frame_001720,1720,30.952829736910484,0.9697166085243225,0.15773100592195988,0.15773102977668332,81.35395586099759,0.013341447638884988,0.021244356408715248,0.012102220207452774,0.6922105550765991,0.6893635988235474,0.23731474578380585,0.23642010986804962,0.014113941953750162,0.008274980861064294,0.9804441407702176,0.7198588341487686,0.5923115401425463,0.4851930394592634,0.43670901793583183
frame_001820,1820,29.416212297131132,0.9532501697540283,0.1655725408345461,0.16557256422367875,79.62433083751769,0.014497980098618416,0.025772126391530037,0.008409591391682625,0.6761458516120911,0.6770931482315063,0.23349247872829437,0.22993136942386627,0.023443891902907993,0.007364000108994433,0.9391460109128843,0.6045378576817803,0.32484567035570655,0.19057496638525398,0.18675290838936764
frame_001930,1930,28.852799068746542,0.9036205410957336,0.22063705511391163,0.22063710013553173,75.59481346956348,0.020493821383816672,0.01287330687046051,0.004486161284148693,0.5776913166046143,0.5771927833557129,0.2604278326034546,0.2532222270965576,0.008517605126154957,0.0025614670482791415,0.9482896373772531,0.4397546609352187,0.28216954317814447,0.266758042752075,0.2884912350319057
frame_002120,2120,29.414836148054505,0.9248924851417542,0.17750041652470827,0.17750032315843983,78.29565958209702,0.020210537301374846,0.02356020174920559,0.007028193213045597,0.5703527331352234,0.5651392340660095,0.23762257397174835,0.2390885055065155,0.016581851515293226,0.004126798255983383,1.074973964921314,0.5872589884905645,0.2917459083573978,0.1610370702444441,0.190108095204462
frame_002190,2190,32.84221893502671,0.9476358294487,0.15391913894563913,0.15391915282017213,81.97764068665145,0.014530553325397492,0.017594430595636368,0.006155107636004686,0.5794947147369385,0.5868194103240967,0.23705443739891052,0.23282171785831451,0.01762832993266116,0.005384168919879222,0.9625804727726288,0.5970164160970824,0.3142451172661033,0.19637592814295365,0.200344976549561
frame_002260,2260,30.250361869875206,0.9343912601470947,0.20143566373735666,0.20143582579090974,78.1245283768437,0.016025823344381292,0.006520425900816917,0.010082916356623173,0.6357051730155945,0.6403397917747498,0.2933915853500366,0.29419824481010437,0.0036720516117841467,0.00673509075317816,1.0236593762205048,2.2393923156090114,2.0442488749103314,1.482837840492733,1.0268919138449357
frame_002330,2330,31.94119581077591,0.9531700611114502,0.16031632013618946,0.1603163781574509,81.34716651436148,0.014394614779878816,0.012092653661966324,0.0090683214366436,0.5869112014770508,0.5816650986671448,0.29281795024871826,0.2965889275074005,0.005711198562921471,0.004260831651170207,1.0456271084898767,1.0082704873417119,0.8934213840223835,0.5169563762053879,0.305882944898922
frame_002440,2440,29.095806695395567,0.9397131204605103,0.16718981135636568,0.16718979639894718,78.96128517679803,0.01843822308480951,0.0283953994512558,0.011405845172703266,0.6108480095863342,0.6048329472541809,0.2903694808483124,0.29066482186317444,0.01027182325323797,0.004368279785367299,0.9787945650702383,0.7153377043507401,0.46193756086888427,0.31083557802216344,0.21173224778253474
frame_002510,2510,31.215150918281473,0.9588462710380554,0.1645987555384636,0.1645988426150463,80.91052846057201,0.015189549968223545,0.015723111107945442,0.00825828593224287,0.5806849002838135,0.5870076417922974,0.2939339876174927,0.29201632738113403,0.009799261193850627,0.005021692519116999,0.9552382922457373,0.6854835392023461,0.5060814119014523,0.3821884555351688,0.4489676067084811
frame_002650,2650,29.895417816428225,0.9358894228935242,0.19901047181338072,0.19901048172973765,78.05351450412743,0.01745268820639259,0.007844342850148678,0.007125891279429197,0.6062552332878113,0.6080471873283386,0.2791580259799957,0.28072473406791687,0.0027777292629986997,0.0025931361182811616,1.0115121821269306,1.387229623965747,1.069794532548889,0.7038473748432913,0.37193610943197697
