stem,frame,psnr,ssim,lpips,lpips_spatialmean,score,l1,gt_lapvar,rn_lapvar,gt_mean,rn_mean,gt_std,rn_std,hf_frac_gt,hf_frac_render,ratio_b0,ratio_b1,ratio_b2,ratio_b3,ratio_b4
frame_000010,10,22.91629184047272,0.72775799036026,0.25358571857213974,0.2535856925707848,65.43908607220584,0.043440995752034105,0.13261178135871887,0.016684653237462044,0.5356691479682922,0.520652174949646,0.21556538343429565,0.20799532532691956,0.03048077207727996,0.006688715776059361,0.9714766472880767,0.4681042972278821,0.20659258794863194,0.1709203653404025,0.3329092789604203
frame_000120,120,22.864841670388447,0.6312012076377869,0.3688824437558651,0.3688825753889457,57.89964348113208,0.04534868502733405,0.04873127117753029,0.006520731840282679,0.5273716449737549,0.5234647989273071,0.2023436278104782,0.19399072229862213,0.008003027296481013,0.0030760801886085425,0.9641028769029064,0.5921299063789334,0.35179489658517704,0.40476536370660277,0.46930058478532033
frame_000190,190,21.91522520146092,0.6542923450469971,0.29994285479187965,0.29994273416851447,60.780191280611284,0.0451257151733959,0.09313076734542847,0.010553233325481415,0.556248128414154,0.5507456660270691,0.22639751434326172,0.21753424406051636,0.008383665290904828,0.0022408738830917963,0.9924749063041849,0.46306759216957155,0.2534305845775145,0.25725035159194926,0.4437921536550657
frame_000260,260,22.44692365972064,0.6481122374534607,0.3332848399877548,0.33328482396309417,59.58012771992601,0.044741878265774825,0.07651887089014053,0.012193005532026291,0.5600713491439819,0.5564941167831421,0.22644899785518646,0.21497216820716858,0.01004641741918487,0.003109530750612834,0.9463570675571773,0.5156163803143238,0.2970868199901595,0.24240340281671446,0.36836173969198405
frame_000440,440,21.873912124254282,0.6552976965904236,0.3554313890635967,0.35543144484950095,58.566022609721415,0.04768063513554324,0.05749085918068886,0.01134947594255209,0.5228946208953857,0.5154742002487183,0.24361848831176758,0.23685266077518463,0.008720830015465815,0.0038472182686879945,0.9507079364641289,0.6368760563300977,0.3938286075615568,0.481444175409916,0.49887969412230065
frame_000510,510,22.717722079580874,0.773764967918396,0.3626747876405716,0.36267475287728573,62.33659077967755,0.044149357345994546,0.021337898448109627,0.00397706450894475,0.5354676246643066,0.5353466868400574,0.23709453642368317,0.22581474483013153,0.006465328594531766,0.0022047271329567624,0.9823964804205334,0.43579465459558714,0.32624320201213314,0.3614221168154206,0.29570698089313363
frame_000630,630,23.296732812278588,0.7631726861000061,0.28610595501959324,0.2861059590172157,65.42898206958361,0.03862096537116749,0.04489174112677574,0.019879113882780075,0.47315946221351624,0.4661182165145874,0.258987694978714,0.25415799021720886,0.0070947815808919314,0.0036254689433326518,0.9569051470759304,0.778270266443407,0.4781246889964656,0.46467749121683893,0.7554972881204397
frame_000710,710,22.786832328178022,0.778216540813446,0.27541961893439293,0.27541962899627653,66.00181086393448,0.037658324010111204,0.03985556215047836,0.01218266412615776,0.4776051938533783,0.48750463128089905,0.2653566896915436,0.2549358606338501,0.019987242026490007,0.007339778869390398,0.926947760959378,0.5472906712082801,0.35672041882576266,0.2537951002082363,0.2994422603505111
frame_000810,810,29.137357935879642,0.8939225673675537,0.2500294726341963,0.250029580424858,74.29891287718655,0.021518360726440228,0.005398037377744913,0.0062814075499773026,0.6543382406234741,0.6545305848121643,0.23729732632637024,0.22982671856880188,0.006669279655774016,0.008567778907914174,0.9451106018598245,1.6637964474662608,1.3655526987194289,0.8980765133101336,0.7543899153168939
frame_000910,910,28.344308905362404,0.8782195448875427,0.2386334389448166,0.23863358981949945,73.80783413205106,0.020828131274697795,0.01894441992044449,0.004544550087302923,0.5894739031791687,0.5860888361930847,0.27401238679885864,0.27572396397590637,0.005394599118181583,0.0013829988638314914,1.0510504331604682,0.47552080632211974,0.2805778900106521,0.24151660195560765,0.18988271953218105
frame_001100,1100,25.4622161173125,0.8789286017417908,0.25696267932653427,0.2569628436230477,71.36668054957987,0.03330617280621319,0.012333129532635212,0.0059355334378778934,0.5343770980834961,0.5335713624954224,0.2638670802116394,0.2726108133792877,0.003048584099005036,0.0012853978482731856,1.121186958021122,0.6816331671750556,0.5066754992739325,0.4062355765930429,0.2509413239891858
frame_001180,1180,24.0883520670875,0.8752337098121643,0.2972160931676626,0.2972161192127964,68.82137880791093,0.03771313568463989,0.005040307063609362,0.0038371416740119457,0.5421034693717957,0.5485687255859375,0.24149928987026215,0.23481693863868713,0.0022771162935825004,0.001860122950656202,0.8910166843057818,0.9594347502235298,0.7813523523939883,0.6807147576239819,0.4115346015554999
frame_001250,1250,24.148112447008007,0.8750313520431519,0.2858836092054844,0.28588357577822915,69.30446366128,0.0328989388664105,0.018977299332618713,0.008239093236625195,0.4626803696155548,0.4667036235332489,0.2290951907634735,0.22302357852458954,0.006781118828410854,0.0024760112214218043,0.9400328283304725,0.618017474704143,0.3857479718722975,0.2601418687165391,0.1431388579002172
frame_001320,1320,25.508149910387132,0.8781285881996155,0.3026582431048155,0.30265831044117825,69.54241786802811,0.04165404531254735,0.0055015720427036285,0.0058263735845685005,0.5030441284179688,0.5299891829490662,0.21690572798252106,0.20469820499420166,0.005498978089313019,0.006626663035647121,0.8945930301522201,1.3678333791264357,1.1376537849739845,0.9701993133351265,0.8057549499002582
