stem,sigma_gt,sigma_render,psnr_raw,psnr_photofix,ssim_raw,ssim_photofix,dmean,shift_x,shift_y,shift_mag,pc_response,psnr_shiftfix,best_sy,best_sx,ssim_shiftfix
frame_000010,0.007909751914318164,0.0019624636543774405,22.91629184047272,23.114702562042883,0.72775799036026,0.7254364490509033,-0.01501697301864624,-0.07595655545480895,-0.028312490241432897,0.08106167664334793,0.6309991519453026,22.92467639555199,0,0,0.72775799036026
frame_000120,0.005045157644263592,0.0016768930026249901,22.864841670388447,22.912991667282668,0.6312012076377869,0.6305181384086609,-0.003906846046447754,0.024055914768837283,-0.1243461078946666,0.12665165448551247,0.5203934024268969,22.89843061650119,0,0,0.6312012076377869
frame_000190,0.006992415860968597,0.0019080066674999447,21.91522520146092,21.958516731927528,0.6542923450469971,0.6528396606445312,-0.005502462387084961,-0.4263852639180641,0.03744190520319535,0.42802603840388287,0.582412516743263,21.9202469082624,0,0,0.6542923450469971
frame_000260,0.004085445729980362,0.0014192949596513816,22.44692365972064,22.459579405107412,0.6481122374534607,0.6481493711471558,-0.0035772323608398438,0.6679122479766875,0.16346540159179312,0.6876246857951206,0.48764212518425265,22.465298888997182,0,0,0.6481122374534607
frame_000440,0.004533379430841893,0.0018659800057912416,21.873912124254282,21.94049064323076,0.6552976965904236,0.6539158821105957,-0.0074204206466674805,-0.16609157844277433,-0.23968776493984478,0.2916104200666885,0.3971630669052867,21.873912124254282,0,0,0.6552976965904236
frame_000510,0.0024139152213030015,0.0012177541892513758,22.717722079580874,22.745881204885137,0.773764967918396,0.7738602757453918,-0.00012093782424926758,-0.3236498140852291,0.20536881182783873,0.3833086889557574,0.47379920457888897,22.74512278110246,0,1,0.7716257572174072
frame_000630,0.003114580645353886,0.0016849454005745746,23.296732812278588,23.362509805266253,0.7631726861000061,0.7613467574119568,-0.007041245698928833,0.17633268189842966,0.03460994715533161,0.17969714284759128,0.5742834621174316,23.363092793186727,0,0,0.7631726861000061
frame_000710,0.004297116098733573,0.0019613923228276636,22.786832328178022,22.859473385059484,0.778216540813446,0.7810068130493164,0.009899437427520752,0.1587065826786329,0.17323819689454467,0.23494521116380043,0.642246129632314,22.795766072085986,0,0,0.778216540813446
frame_000810,0.0011577912352070824,0.0012750530158381756,29.137357935879642,29.227654643753255,0.8939225673675537,0.8929192423820496,0.00019234418869018555,-0.3144795566920493,0.3346770786272373,0.4592451834648784,0.6142863828741145,29.226937355437617,0,1,0.8953653573989868
frame_000910,0.002626992892113791,0.0011164894293826113,28.344308905362404,28.437401653759235,0.8782195448875427,0.8773908615112305,-0.0033850669860839844,0.3711410876297805,0.11098748790686841,0.3873808583279428,0.7989446778402026,28.344308905362404,0,0,0.8782195448875427
frame_001100,0.0016211347379671323,0.0011520702041165002,25.4622161173125,25.75399263400234,0.8789286017417908,0.8817446827888489,-0.0008057355880737305,1.3284153866782162,-0.719505508215093,1.5107533272891687,0.5373253856711079,25.562636873011822,0,-1,0.8794600367546082
frame_001180,0.0011647159822889925,0.0010910029439995157,24.0883520670875,24.178016077917537,0.8752337098121643,0.8762513399124146,0.006465256214141846,-0.25215889214359777,0.432694928346109,0.5008083544665873,0.2376739334655537,24.359374196683568,-2,-1,0.8717011213302612
frame_001250,0.0024358842297019833,0.001336841532850166,24.148112447008007,24.18274639095205,0.8750313520431519,0.8754606246948242,0.004023253917694092,-0.17586649665452114,0.17501652742305396,0.24811249367325156,0.6861986328798073,24.148112447008007,0,0,0.8750313520431519
frame_001320,0.0011009986988614834,0.0011844890236398754,25.508149910387132,26.94298613154315,0.8781285881996155,0.8822048902511597,0.026945054531097412,-0.21112849677820122,0.08037803100057772,0.22591119941108,0.6117102015432897,25.520940372567154,0,0,0.8781285881996155
frame_001400,0.002802354323069592,0.0015034183174537383,30.485907791346932,30.504548113257528,0.8781169652938843,0.8781445026397705,-0.00012922286987304688,0.15083443578157585,0.08771614950489948,0.17448538592533244,0.9403539586427638,30.495179277750026,0,0,0.8781169652938843
frame_001470,0.005665226136334311,0.0018755037094446503,26.011901738521395,26.06918899019858,0.7651219964027405,0.7642443180084229,0.0011258721351623535,-0.10037595077983497,-0.12711007106940997,0.16196388999473402,0.69727176453893,26.09287388848601,0,0,0.7651219964027405
frame_001540,0.0042740405470523815,0.0019254537891106552,27.939600838814783,27.996485647653635,0.8367782235145569,0.835500955581665,0.002273082733154297,0.02238564121694253,0.028705651818995648,0.036402354031670595,0.7859877508742543,27.984493829787837,0,0,0.8367782235145569
frame_001640,0.0015427642185385224,0.0011428970614677577,28.677363324237675,29.51687229134665,0.9260848164558411,0.9252147674560547,-0.007877230644226074,0.07030843145776089,-0.13859148362166707,0.15540551749054946,0.7662624602762081,28.6802254959319,0,0,0.9260848164558411
frame_001720,0.0015298518233533244,0.0011090890321029158,30.952829736910484,31.184466410197025,0.9697166085243225,0.9698668718338013,-0.002846956253051758,-0.05990442254596928,-0.13303888316590928,0.14590368149775554,0.8394883375922584,30.952829736910484,0,0,0.9697166085243225
frame_001820,0.001831626194573685,0.0010732020514748288,29.416212297131132,29.429145696202465,0.9532501697540283,0.95316082239151,0.0009472966194152832,-0.1442286645101376,-0.06998689530757929,0.16031242366445556,0.8167048719913053,29.416212297131132,0,0,0.9532501697540283
