stem,frame,psnr,ssim,lpips,lpips_spatialmean,score,l1,gt_lapvar,rn_lapvar,gt_mean,rn_mean,gt_std,rn_std,hf_frac_gt,hf_frac_render,ratio_b0,ratio_b1,ratio_b2,ratio_b3,ratio_b4,d_nearest,d_2nd,d_mean5,ang_nearest,n_within_0p2,n_within_0p5,temporal_baseline,med_scene_depth,baseline_over_depth,sigma_gt,sigma_render,psnr_raw,psnr_photofix,ssim_raw,ssim_photofix,dmean,shift_x,shift_y,shift_mag,pc_response,psnr_shiftfix,best_sy,best_sx,ssim_shiftfix
frame_000010,10,22.91629184047272,0.72775799036026,0.25358571857213974,0.2535856925707848,65.43908607220584,0.043440995752034105,0.13261178135871887,0.016684653237462044,0.5356691479682922,0.520652174949646,0.21556538343429565,0.20799532532691956,0.03048077207727996,0.006688715776059361,0.9714766472880767,0.4681042972278821,0.20659258794863194,0.1709203653404025,0.3329092789604203,0.011499605092746373,0.0351682646604449,0.33300947103303963,0.5723679648432841,2,3,0.023333934876595637,6.3036619003517425,0.0037016475892042385,0.007909751914318164,0.0019624636543774405,22.91629184047272,23.114702562042883,0.72775799036026,0.7254364490509033,-0.01501697301864624,-0.07595655545480895,-0.028312490241432897,0.08106167664334793,0.6309991519453026,22.92467639555199,0,0,0.72775799036026
frame_000120,120,22.864841670388447,0.6312012076377869,0.3688824437558651,0.3688825753889457,57.89964348113208,0.04534868502733405,0.04873127117753029,0.006520731840282679,0.5273716449737549,0.5234647989273071,0.2023436278104782,0.19399072229862213,0.008003027296481013,0.0030760801886085425,0.9641028769029064,0.5921299063789334,0.35179489658517704,0.40476536370660277,0.46930058478532033,0.4034457139715472,0.44137983462142294,0.7795605092207035,5.160062257922724,0,2,0.42241277429648505,6.464749339868747,0.06534093622028372,0.005045157644263592,0.0016768930026249901,22.864841670388447,22.912991667282668,0.6312012076377869,0.6305181384086609,-0.003906846046447754,0.024055914768837283,-0.1243461078946666,0.12665165448551247,0.5203934024268969,22.89843061650119,0,0,0.6312012076377869
frame_000190,190,21.91522520146092,0.6542923450469971,0.29994285479187965,0.29994273416851447,60.780191280611284,0.0451257151733959,0.09313076734542847,0.010553233325481415,0.556248128414154,0.5507456660270691,0.22639751434326172,0.21753424406051636,0.008383665290904828,0.0022408738830917963,0.9924749063041849,0.46306759216957155,0.2534305845775145,0.25725035159194926,0.4437921536550657,0.10027949365037413,0.2910310345212457,0.48759412183975204,1.8901249424577244,1,3,0.1956552640858099,7.25958837702261,0.026951288960828712,0.006992415860968597,0.0019080066674999447,21.91522520146092,21.958516731927528,0.6542923450469971,0.6528396606445312,-0.005502462387084961,-0.4263852639180641,0.03744190520319535,0.42802603840388287,0.582412516743263,21.9202469082624,0,0,0.6542923450469971
frame_000260,260,22.44692365972064,0.6481122374534607,0.3332848399877548,0.33328482396309417,59.58012771992601,0.044741878265774825,0.07651887089014053,0.012193005532026291,0.5600713491439819,0.5564941167831421,0.22644899785518646,0.21497216820716858,0.01004641741918487,0.003109530750612834,0.9463570675571773,0.5156163803143238,0.2970868199901595,0.24240340281671446,0.36836173969198405,0.24097081574317714,0.4156734159538673,0.779666711158933,3.4544302660037385,0,2,0.3283221158485222,7.809880499013406,0.04203932645192176,0.004085445729980362,0.0014192949596513816,22.44692365972064,22.459579405107412,0.6481122374534607,0.6481493711471558,-0.0035772323608398438,0.6679122479766875,0.16346540159179312,0.6876246857951206,0.48764212518425265,22.465298888997182,0,0,0.6481122374534607
frame_000440,440,21.873912124254282,0.6552976965904236,0.3554313890635967,0.35543144484950095,58.566022609721415,0.04768063513554324,0.05749085918068886,0.01134947594255209,0.5228946208953857,0.5154742002487183,0.24361848831176758,0.23685266077518463,0.008720830015465815,0.0038472182686879945,0.9507079364641289,0.6368760563300977,0.3938286075615568,0.481444175409916,0.49887969412230065,0.6956730865435935,0.7134754151670836,1.2379004342575537,5.32829657342828,0,0,0.7045742508553385,6.461817318896129,0.109036547473258,0.004533379430841893,0.0018659800057912416,21.873912124254282,21.94049064323076,0.6552976965904236,0.6539158821105957,-0.0074204206466674805,-0.16609157844277433,-0.23968776493984478,0.2916104200666885,0.3971630669052867,21.873912124254282,0,0,0.6552976965904236
frame_000510,510,22.717722079580874,0.773764967918396,0.3626747876405716,0.36267475287728573,62.33659077967755,0.044149357345994546,0.021337898448109627,0.00397706450894475,0.5354676246643066,0.5353466868400574,0.23709453642368317,0.22581474483013153,0.006465328594531766,0.0022047271329567624,0.9823964804205334,0.43579465459558714,0.32624320201213314,0.3614221168154206,0.29570698089313363,0.563843175250202,0.6508677186347688,1.2579232824368591,5.79588697017816,0,0,0.6073554469424853,5.395388459897308,0.1125693639034186,0.0024139152213030015,0.0012177541892513758,22.717722079580874,22.745881204885137,0.773764967918396,0.7738602757453918,-0.00012093782424926758,-0.3236498140852291,0.20536881182783873,0.3833086889557574,0.47379920457888897,22.74512278110246,0,1,0.7716257572174072
frame_000630,630,23.296732812278588,0.7631726861000061,0.28610595501959324,0.2861059590172157,65.42898206958361,0.03862096537116749,0.04489174112677574,0.019879113882780075,0.47315946221351624,0.4661182165145874,0.258987694978714,0.25415799021720886,0.0070947815808919314,0.0036254689433326518,0.9569051470759304,0.778270266443407,0.4781246889964656,0.46467749121683893,0.7554972881204397,0.5428530527805466,0.6469269638463766,1.0293313738036372,4.846296014605926,0,0,0.5948900083134616,6.478752916271513,0.09182168482137726,0.003114580645353886,0.0016849454005745746,23.296732812278588,23.362509805266253,0.7631726861000061,0.7613467574119568,-0.007041245698928833,0.17633268189842966,0.03460994715533161,0.17969714284759128,0.5742834621174316,23.363092793186727,0,0,0.7631726861000061
frame_000710,710,22.786832328178022,0.778216540813446,0.27541961893439293,0.27541962899627653,66.00181086393448,0.037658324010111204,0.03985556215047836,0.01218266412615776,0.4776051938533783,0.48750463128089905,0.2653566896915436,0.2549358606338501,0.019987242026490007,0.007339778869390398,0.926947760959378,0.5472906712082801,0.35672041882576266,0.2537951002082363,0.2994422603505111,0.44973937362797745,0.48389443439636187,0.8333353619739021,4.007214842276782,0,2,0.4668169040121697,6.3511231564412665,0.07350147249762069,0.004297116098733573,0.0019613923228276636,22.786832328178022,22.859473385059484,0.778216540813446,0.7810068130493164,0.009899437427520752,0.1587065826786329,0.17323819689454467,0.23494521116380043,0.642246129632314,22.795766072085986,0,0,0.778216540813446
frame_000810,810,29.137357935879642,0.8939225673675537,0.2500294726341963,0.250029580424858,74.29891287718655,0.021518360726440228,0.005398037377744913,0.0062814075499773026,0.6543382406234741,0.6545305848121643,0.23729732632637024,0.22982671856880188,0.006669279655774016,0.008567778907914174,0.9451106018598245,1.6637964474662608,1.3655526987194289,0.8980765133101336,0.7543899153168939,0.32982956635718097,0.3389138672957433,0.5044357053498907,3.731014794635629,0,2,0.33437171682646216,4.912171345338625,0.06807004343278093,0.0011577912352070824,0.0012750530158381756,29.137357935879642,29.227654643753255,0.8939225673675537,0.8929192423820496,0.00019234418869018555,-0.3144795566920493,0.3346770786272373,0.4592451834648784,0.6142863828741145,29.226937355437617,0,1,0.8953653573989868
frame_000910,910,28.344308905362404,0.8782195448875427,0.2386334389448166,0.23863358981949945,73.80783413205106,0.020828131274697795,0.01894441992044449,0.004544550087302923,0.5894739031791687,0.5860888361930847,0.27401238679885864,0.27572396397590637,0.005394599118181583,0.0013829988638314914,1.0510504331604682,0.47552080632211974,0.2805778900106521,0.24151660195560765,0.18988271953218105,0.14517316953751566,0.19674791750178605,0.26089685788777495,4.726115865966455,2,5,0.2005826232623783,4.279643794953065,0.04686899958798512,0.002626992892113791,0.0011164894293826113,28.344308905362404,28.437401653759235,0.8782195448875427,0.8773908615112305,-0.0033850669860839844,0.3711410876297805,0.11098748790686841,0.3873808583279428,0.7989446778402026,28.344308905362404,0,0,0.8782195448875427
