name,frame,log_lapvar,reblur,log_hf025,sigma_init
frame_001070.jpg,1070,-4.643041,0.156530,-3.915215,1.9462
frame_001080.jpg,1080,-4.286620,0.178182,-4.136696,1.5898
frame_001090.jpg,1090,-4.815163,0.150681,-5.416504,2.1183
frame_001100.jpg,1100,-4.396653,0.191526,-5.261240,1.6998
frame_001110.jpg,1110,-4.882530,0.161049,-6.044427,2.1857
frame_001120.jpg,1120,-4.386907,0.199969,-5.534610,1.6901
frame_001130.jpg,1130,-4.053189,0.221474,-4.478005,1.3564
frame_001140.jpg,1140,-3.942084,0.200379,-3.468131,1.2453
frame_001150.jpg,1150,-4.807556,0.154466,-4.289769,2.1107
frame_001160.jpg,1160,-4.857112,0.150191,-4.958244,2.1603
frame_001170.jpg,1170,-5.127457,0.131207,-5.075138,2.4306
frame_001180.jpg,1180,-5.293388,0.109609,-4.867068,2.5000
frame_001190.jpg,1190,-3.925184,0.186909,-4.007347,1.2284
frame_001200.jpg,1200,-4.220692,0.164007,-5.233100,1.5239
frame_001210.jpg,1210,-4.231495,0.161536,-5.303899,1.5347
frame_001220.jpg,1220,-4.341277,0.144903,-5.415955,1.6444
frame_001230.jpg,1230,-4.257101,0.142135,-5.249781,1.5603
frame_001240.jpg,1240,-3.514279,0.209936,-4.530348,0.8174
frame_001250.jpg,1250,-3.965432,0.175380,-4.491743,1.2686
frame_001260.jpg,1260,-3.511078,0.214114,-3.719454,0.8142
frame_001270.jpg,1270,-4.183632,0.174386,-3.568769,1.4868
frame_001280.jpg,1280,-4.238556,0.170682,-3.582126,1.5417
frame_001290.jpg,1290,-3.881447,0.191740,-3.504775,1.1846
frame_001300.jpg,1300,-4.242106,0.172387,-3.656214,1.5453
frame_001310.jpg,1310,-3.984029,0.210490,-3.100679,1.2872
frame_001320.jpg,1320,-5.205234,0.146872,-4.114519,2.5000
frame_001330.jpg,1330,-4.123544,0.231475,-2.765125,1.4267
frame_001340.jpg,1340,-4.764244,0.220707,-3.850178,2.0674
frame_001350.jpg,1350,-4.077874,0.279768,-3.122557,1.3810
frame_001360.jpg,1360,-4.211067,0.253556,-2.950200,1.5142
frame_001370.jpg,1370,-4.771403,0.198182,-3.372473,2.0746
frame_001380.jpg,1380,-4.061775,0.263133,-2.690909,1.3649
frame_001390.jpg,1390,-4.219454,0.276885,-3.170689,1.5226
frame_001400.jpg,1400,-3.913137,0.323981,-3.435912,1.2163
frame_001410.jpg,1410,-3.921361,0.316095,-3.198043,1.2245
frame_001420.jpg,1420,-3.877667,0.319690,-3.542187,1.1808
frame_001430.jpg,1430,-5.095383,0.203124,-4.822554,2.3986
frame_001440.jpg,1440,-3.749569,0.333663,-3.641418,1.0527
frame_001450.jpg,1450,-3.257509,0.381832,-3.695395,0.5607
frame_001460.jpg,1460,-2.753321,0.419902,-3.395063,0.2000
frame_001470.jpg,1470,-2.747023,0.419513,-3.360776,0.2000
frame_001480.jpg,1480,-2.675958,0.421246,-3.327954,0.2000
frame_001490.jpg,1490,-2.924976,0.400933,-3.384275,0.2281
frame_001500.jpg,1500,-3.085178,0.384525,-3.465978,0.3883
frame_001510.jpg,1510,-2.897134,0.406846,-3.387942,0.2003
frame_001520.jpg,1520,-2.782022,0.413273,-3.163178,0.2000
frame_001530.jpg,1530,-2.895587,0.398015,-3.040279,0.2000
frame_001540.jpg,1540,-3.156233,0.373889,-2.929614,0.4594
frame_001550.jpg,1550,-3.274772,0.362010,-2.992708,0.5779
frame_001560.jpg,1560,-3.786757,0.324752,-3.372064,1.0899
frame_001570.jpg,1570,-3.235405,0.364083,-2.546898,0.5386
frame_001580.jpg,1580,-2.868754,0.403570,-2.192115,0.2000
frame_001600.jpg,1600,-4.964358,0.205533,-2.950870,2.2675
frame_001610.jpg,1610,-4.132307,0.305685,-2.073933,1.4355
frame_001620.jpg,1620,-4.024009,0.342010,-2.680491,1.3272
frame_001630.jpg,1630,-3.908031,0.341988,-2.853126,1.2112
frame_001640.jpg,1640,-4.235149,0.257268,-2.874299,1.5383
frame_001650.jpg,1650,-3.971988,0.280293,-3.030632,1.2752
frame_001660.jpg,1660,-3.829023,0.283875,-2.929581,1.1322
frame_001670.jpg,1670,-3.654383,0.284962,-2.872244,0.9576
frame_001680.jpg,1680,-3.569698,0.286305,-2.928944,0.8729
frame_001690.jpg,1690,-3.476095,0.288390,-2.966060,0.7793
frame_001700.jpg,1700,-3.707719,0.268001,-3.104995,1.0109
frame_001710.jpg,1710,-3.548248,0.274694,-3.024820,0.8514
frame_001720.jpg,1720,-3.851978,0.249514,-3.244433,1.1551
frame_001730.jpg,1730,-3.864544,0.237170,-3.316266,1.1677
frame_001740.jpg,1740,-3.789661,0.245531,-3.255399,1.0928
frame_001760.jpg,1760,-3.508260,0.275895,-3.152450,0.8114
frame_001770.jpg,1770,-3.550540,0.270156,-3.112952,0.8537
frame_001780.jpg,1780,-3.984651,0.228465,-3.359141,1.2878
frame_001790.jpg,1790,-4.350033,0.194693,-3.634745,1.6532
frame_001800.jpg,1800,-3.932045,0.238104,-3.130360,1.2352
frame_001810.jpg,1810,-3.942784,0.242044,-3.039779,1.2460
frame_001820.jpg,1820,-3.658701,0.276373,-2.873932,0.9619
frame_001830.jpg,1830,-3.683419,0.279488,-2.945522,0.9866
frame_001840.jpg,1840,-4.609689,0.223909,-3.708442,1.9129
frame_001850.jpg,1850,-4.659765,0.240099,-3.721407,1.9629
frame_001860.jpg,1860,-4.330506,0.292756,-4.032815,1.6337
frame_001890.jpg,1890,-5.115260,0.189703,-3.898755,2.4184
frame_001900.jpg,1900,-4.815985,0.198455,-3.903351,2.1192
frame_001910.jpg,1910,-4.547899,0.198742,-4.065162,1.8511
frame_001920.jpg,1920,-4.442253,0.218847,-4.186892,1.7454
frame_001930.jpg,1930,-4.353513,0.213002,-3.685652,1.6567
frame_001940.jpg,1940,-4.248187,0.213418,-3.556558,1.5514
frame_001960.jpg,1960,-5.315741,0.131571,-4.993867,2.5000
frame_001980.jpg,1980,-5.661584,0.115516,-5.422011,2.5000
frame_001990.jpg,1990,-4.220312,0.208319,-3.841931,1.5235
frame_002000.jpg,2000,-4.266888,0.213944,-3.803208,1.5701
frame_002010.jpg,2010,-4.052038,0.224557,-3.423711,1.3552
frame_002020.jpg,2020,-4.858798,0.161849,-4.034162,2.1620
frame_002040.jpg,2040,-3.985652,0.206520,-3.139925,1.2888
frame_002050.jpg,2050,-3.884680,0.214103,-3.006492,1.1878
frame_002060.jpg,2060,-4.224123,0.192122,-3.239203,1.5273
frame_002070.jpg,2070,-4.217287,0.192689,-3.257444,1.5205
frame_002080.jpg,2080,-4.650671,0.177283,-3.665577,1.9538
frame_002090.jpg,2090,-4.542907,0.183010,-3.824747,1.8461
frame_002110.jpg,2110,-3.808555,0.240250,-3.532382,1.1117
frame_002120.jpg,2120,-3.748884,0.250645,-3.489780,1.0521
frame_002130.jpg,2130,-4.054722,0.229725,-3.636260,1.3579
frame_002140.jpg,2140,-4.521471,0.195901,-3.918023,1.8246
frame_002150.jpg,2150,-4.699084,0.182810,-3.914254,2.0023
frame_002160.jpg,2160,-4.862428,0.167156,-4.050180,2.1656
frame_002170.jpg,2170,-4.294320,0.223265,-3.516716,1.5975
frame_002180.jpg,2180,-4.435350,0.212891,-3.641916,1.7385
frame_002190.jpg,2190,-4.041045,0.237918,-3.283921,1.3442
frame_002200.jpg,2200,-3.836897,0.250408,-2.978006,1.1401
frame_002210.jpg,2210,-3.693750,0.260362,-2.996060,0.9969
frame_002220.jpg,2220,-3.671978,0.265536,-3.077115,0.9751
frame_002230.jpg,2230,-4.022246,0.241893,-3.324288,1.3254
frame_002240.jpg,2240,-4.444155,0.206201,-3.699845,1.7473
frame_002250.jpg,2250,-3.833516,0.249061,-3.141913,1.1367
frame_002260.jpg,2260,-5.034791,0.157679,-4.541618,2.3380
frame_002270.jpg,2270,-3.678557,0.261211,-3.348010,0.9817
frame_002280.jpg,2280,-3.681723,0.270190,-3.365357,0.9849
frame_002290.jpg,2290,-3.708523,0.268852,-3.479260,1.0117
